city,month,count,k,c,mean_ws,std_ws,status,file,location_id
Yazd,9,15120,1.709710,2.717281,2.423552,1.479023,OK,31.8974_54.3569.csv,single
Yazd,10,15624,1.667816,2.460586,2.198457,1.372656,OK,31.8974_54.3569.csv,single
Yazd,11,15120,1.711776,2.313868,2.063583,1.257945,OK,31.8974_54.3569.csv,single
Yazd,12,15624,1.684550,2.265675,2.022826,1.251439,OK,31.8974_54.3569.csv,single
Zabol,1,15624,1.477575,3.681294,3.329526,2.324125,OK,31.0306_61.4949.csv,single
Zabol,2,14256,1.539042,4.448020,4.003573,2.691694,OK,31.0306_61.4949.csv,single
Zabol,3,15624,1.554461,4.496328,4.042746,2.693195,OK,31.0306_61.4949.csv,single
Zabol,4,15120,1.677469,5.254996,4.693163,2.914752,OK,31.0306_61.4949.csv,single
Zabol,5,15624,1.927346,6.563210,5.821457,3.181543,OK,31.0306_61.4949.csv,single
Zabol,6,15120,2.813124,9.437381,8.405026,3.242809,OK,31.0306_61.4949.csv,single
Zabol,7,15624,3.879992,10.962625,9.919443,2.846334,OK,31.0306_61.4949.csv,single
Zabol,8,15624,4.131559,10.922221,9.918247,2.686030,OK,31.0306_61.4949.csv,single
Zabol,9,15120,2.617125,8.740741,7.765153,3.201938,OK,31.0306_61.4949.csv,single
Zabol,10,15624,1.729418,5.983887,5.333134,3.220488,OK,31.0306_61.4949.csv,single
Zabol,11,15120,1.485388,4.087199,3.694165,2.566163,OK,31.0306_61.4949.csv,single
Zabol,12,15624,1.399108,3.677881,3.352442,2.460708,OK,31.0306_61.4949.csv,single
