city,month,count,k,c,mean_ws,std_ws,status,file,location_id
Qazvin,10,8184,1.724681170292573,4.186109036210489,3.731505376344086,2.2292843350351856,OK,36.0000_50.0000.csv,single
Qazvin,11,7920,1.5483870967741935,3.58042333444298,3.220565656565656,2.1236354291690573,OK,36.0000_50.0000.csv,single
Qazvin,12,8161,1.330832708177044,3.099414540500696,2.8495515255483395,2.163387071787069,OK,36.0000_50.0000.csv,single
Manjil,1,8184,1.5390097524381094,2.704751722938896,2.4344978005865103,1.614204655752747,OK,37.0000_49.7500.csv,single
Manjil,2,7464,1.5765191297824457,2.4288408913333304,2.180703376205788,1.4144266451322216,OK,37.0000_49.7500.csv,single
Manjil,3,8184,1.4733683420855217,2.3133876673660296,2.0931023949169107,1.4454088646619647,OK,37.0000_49.7500.csv,single
Manjil,4,7920,1.6327831957989498,2.116089203472209,1.8938535353535355,1.1891703624972856,OK,37.0000_49.7500.csv,single
Manjil,5,8184,1.8765941485371345,2.1178398685682835,1.88008064516129,1.0409344537777063,OK,37.0000_49.7500.csv,single
Manjil,6,7920,2.019129782445612,2.1958347020029985,1.945691919191919,1.0087292700624364,OK,37.0000_49.7500.csv,single
Manjil,7,8184,2.246061515378845,2.373072342499863,2.101875610948192,0.98988919556707,OK,37.0000_49.7500.csv,single
Manjil,8,8184,2.1091522880720177,2.243614541318262,1.987101661779081,0.9902558775861428,OK,37.0000_49.7500.csv,single
Manjil,9,7920,2.1429107276819206,2.1980313647132763,1.9466073232323235,0.9561695202105248,OK,37.0000_49.7500.csv,single
Manjil,10,8184,1.7303075768942235,2.155003680085723,1.9205840664711635,1.1443845763894336,OK,37.0000_49.7500.csv,single
Manjil,11,7920,1.6159039759939984,2.350286980482801,2.10533207070707,1.3349765011793666,OK,37.0000_49.7500.csv,single
Manjil,12,8161,1.4114778694673669,2.448442961134298,2.228750153167504,1.6008972993860835,OK,37.0000_49.7500.csv,single
Tabriz,1,8184,1.2033008252063015,2.929443499863058,2.7536559139784944,2.2985119493616195,OK,38.0000_46.0000.csv,single
Tabriz,2,7464,1.2745686421605402,3.229419196590228,2.9949021972132908,2.367390428691553,OK,38.0000_46.0000.csv,single
Tabriz,3,8184,1.418979744936234,4.665085518511532,4.243099951124145,3.031002689048491,OK,38.0000_46.0000.csv,single
Tabriz,4,7920,1.5202550637659416,4.549387097853025,4.100444444444445,2.7502917554209225,OK,38.0000_46.0000.csv,single
Tabriz,5,8184,1.668417104276069,4.70701753732043,4.205459433040078,2.589560728677682,OK,38.0000_46.0000.csv,single
Tabriz,6,7920,1.9497374343585896,5.652012241742636,5.011709595959597,2.6810089514228848,OK,38.0000_46.0000.csv,single
Tabriz,7,8184,2.180420105026257,6.476189555176793,5.735359237536657,2.773707919132377,OK,38.0000_46.0000.csv,single
Tabriz,8,8184,2.1035258814703672,6.174080731812735,5.468284457478006,2.731191096266236,OK,38.0000_46.0000.csv,single
Tabriz,9,7920,1.8953488372093024,4.957846624024676,4.3997601010101,2.413942724617978,OK,38.0000_46.0000.csv,single
Tabriz,10,8184,1.458364591147787,3.806974930921243,3.4491446725317694,2.403262477972601,OK,38.0000_46.0000.csv,single
Tabriz,11,7920,1.3683420855213804,3.024681810894997,2.767093434343434,2.047076673155729,OK,38.0000_46.0000.csv,single
Tabriz,12,8161,1.0476369092273068,2.4094921513138923,2.365205244455336,2.258449946736405,OK,38.0000_46.0000.csv,single
